iter	Passed	Remaining
716	1069	422
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1074	413
722	1076	412
723	1077	410
724	1078	408
725	1079	407
726	1080	405
727	1081	404
728	1083	402
729	1084	401
730	1085	399
731	1087	397
732	1088	396
733	1089	394
734	1090	393
735	1091	391
736	1092	390
737	1094	388
738	1095	386
739	1096	385
740	1097	383
741	1099	382
742	1100	380
743	1101	378
744	1102	377
745	1103	375
746	1104	374
747	1105	372
748	1106	370
749	1107	369
750	1109	367
751	1110	366
752	1111	364
753	1112	362
754	1113	361
755	1114	359
756	1115	358
757	1116	356
758	1117	354
759	1118	353
760	1119	351
761	1120	350
762	1122	348
763	1123	346
764	1124	345
765	1125	343
766	1126	342
767	1128	340
768	1128	339
769	1130	337
770	1131	335
771	1132	334
772	1133	332
773	1134	331
774	1135	329
775	1136	328
776	1137	326
777	1139	325
778	1140	323
779	1141	321
780	1142	320
781	1143	318
782	1144	317
783	1145	315
784	1146	313
785	1147	312
786	1148	310
787	1149	309
788	1150	307
789	1152	306
790	1153	304
791	1154	303
792	1155	301
793	1156	300
794	1157	298
795	1158	296
796	1159	295
797	1161	293
798	1162	292
799	1163	290
800	1164	289
801	1165	287
802	1166	286
803	1167	284
804	1168	283
805	1170	281
806	1171	280
807	1172	278
808	1173	277
809	1174	275
810	1175	273
811	1176	272
812	1177	270
813	1179	269
814	1180	267
815	1181	266
816	1182	264
817	1184	263
818	1185	261
819	1186	260
820	1187	258
821	1188	257
822	1189	255
823	1190	254
824	1191	252
825	1192	251
826	1194	249
827	1195	248
828	1196	246
829	1197	245
830	1198	243
831	1199	242
832	1200	240
833	1201	239
834	1203	237
835	1204	236
836	1205	234
837	1206	233
838	1208	231
839	1209	230
840	1210	228
841	1211	227
842	1212	225
843	1213	224
844	1214	222
845	1215	221
846	1216	219
847	1218	218
848	1219	216
849	1220	215
850	1221	213
851	1222	212
852	1224	210
853	1225	209
854	1226	207
855	1227	206
856	1228	204
857	1229	203
858	1230	202
859	1231	200
860	1233	199
861	1234	197
862	1235	196
863	1236	194
864	1238	193
865	1239	191
866	1240	190
867	1241	188
868	1242	187
869	1243	185
870	1244	184
871	1245	182
872	1246	181
873	1248	179
874	1249	178
875	1250	177
876	1251	175
877	1252	174
878	1254	172
879	1255	171
880	1257	169
881	1258	168
882	1259	166
883	1260	165
884	1261	163
885	1263	162
886	1264	161
887	1265	159
888	1266	158
889	1267	156
890	1269	155
891	1270	153
892	1271	152
893	1272	150
894	1273	149
895	1275	148
896	1276	146
897	1277	145
898	1279	143
899	1281	142
900	1282	140
901	1283	139
902	1284	138
903	1285	136
904	1287	135
905	1288	133
906	1289	132
907	1291	130
908	1292	129
909	1293	127
910	1295	126
911	1296	125
912	1297	123
913	1298	122
914	1299	120
915	1301	119
916	1302	117
917	1303	116
918	1305	115
919	1306	113
920	1308	112
921	1309	110
922	1310	109
923	1311	107
924	1312	106
925	1313	104
926	1314	103
927	1315	102
928	1317	100
929	1318	99
930	1319	97
931	1320	96
932	1322	94
933	1323	93
934	1324	92
935	1325	90
936	1326	89
937	1327	87
938	1329	86
939	1330	84
940	1331	83
941	1332	82
942	1334	80
943	1335	79
944	1336	77
945	1337	76
946	1338	74
947	1340	73
948	1341	72
949	1342	70
950	1343	69
951	1344	67
952	1346	66
953	1347	64
954	1348	63
955	1350	62
956	1351	60
957	1352	59
958	1353	57
959	1354	56
960	1356	55
961	1357	53
962	1358	52
963	1359	50
964	1360	49
965	1362	47
966	1363	46
967	1364	45
968	1365	43
969	1367	42
970	1368	40
971	1369	39
972	1370	38
973	1372	36
974	1373	35
975	1374	33
976	1376	32
977	1377	30
978	1378	29
979	1379	28
980	1380	26
981	1381	25
982	1382	23
983	1384	22
984	1385	21
985	1386	19
986	1387	18
987	1389	16
988	1390	15
989	1392	14
990	1393	12
991	1394	11
992	1395	9
993	1396	8
994	1397	7
995	1399	5
996	1400	4
997	1401	2
998	1402	1
999	1403	0
